loan_id,customer_id,segment,industry,region,rating_grade,outstanding_balance_vnd,undrawn_commitment_vnd,collateral_type,ltv,dscr,leverage,revenue_growth,cash_flow_margin,dpd,rating_downgrade_notches,pd_12m,lgd,ccf,ead_vnd,ifrs9_stage,lifetime_pd,ecl_vnd,default_flag
LN00025,CUS00002,Large Corporate,F&B,Binh Duong,A,158000000000,7707421106,Inventory,0.5539,2.155,2.456,0.3063,0.0113,0,0,0.012,0.443877,0.4,161082968442,1,0.018,858013045,0
LN00026,CUS00520,SME,Agriculture,Da Nang,B,2748000000000,243653640647,Unsecured,0.8359,0.582,4.628,0.301,0.0366,5,0,0.212798,0.742549,0.4,2845461456258,1,0.319197,449619008077,0
LN00027,CUS00441,SME,Transport,Can Tho,BB,2272000000000,130139045758,Inventory,0.4332,2.426,1.867,-0.2688,0.0394,0,0,0.055,0.401611,0.4,2324055618303,1,0.0825,51335178253,0
LN00028,CUS00344,SME,Transport,Hanoi,BB,2769000000000,266282630702,Receivables,0.7377,0.633,3.705,0.1113,0.0432,0,0,0.084582,0.508184,0.4,2875513052280,1,0.126874,123599433321,0
LN00029,CUS00410,SME,Retail,HCMC,B,817000000000,54174684219,Machinery,1.4,2.253,1.367,-0.1182,-0.0703,0,1,0.15,0.74,0.4,838669873687,1,0.225,93092355979,0
LN00030,CUS00476,Retail Mortgage,Real Estate,Dong Nai,A,1743000000000,171648045658,Real Estate,0.7653,2.083,1.163,-0.1441,0.1126,65,0,0.025,0.517844,0.75,1871736034243,2,0.075,72695073639,0
LN00031,CUS00284,SME,Agriculture,Can Tho,BB,2511000000000,920916602959,Receivables,1.0143,1.436,4.468,-0.0281,0.1759,0,1,0.07844,0.60499,0.4,2879366641183,1,0.11766,136641365687,0
LN00032,CUS00220,SME,Technology,Hanoi,B,1803000000000,62866119158,Inventory,1.1846,1.703,4.287,-0.0152,0.1803,0,0,0.138531,0.664623,0.4,1828146447663,1,0.207797,168319197479,0
LN00033,CUS00400,SME,Transport,Can Tho,BBB,257000000000,23920397147,Receivables,0.4697,2.374,1.335,-0.0599,0.1747,0,0,0.025,0.414387,0.4,266568158858,1,0.0375,2761561541,0
LN00034,CUS00170,SME,Energy,Can Tho,B,2238000000000,805547234954,Unsecured,0.5831,2.31,2.23,0.0502,0.1813,0,0,0.12,0.654087,0.4,2560218893981,1,0.18,200952722379,0
LN00035,CUS00346,Consumer Finance,Manufacturing,Can Tho,BBB,112000000000,45709214674,Cash,0.6028,1.357,4.48,0.1759,0.1239,0,0,0.02944,0.310993,0.75,146281911005,1,0.04416,1339288836,0
LN00036,CUS00042,Retail Mortgage,F&B,Can Tho,B,1035000000000,388859758620,Receivables,0.756,0.901,3.632,0.4999,0.1534,0,0,0.157768,0.514588,0.75,1326644818965,1,0.236653,107704612525,0
LN00037,CUS00118,Large Corporate,Retail,Can Tho,AA,2546000000000,174584453565,Real Estate,0.8588,2.383,2.297,0.0306,0.0474,0,0,0.005,0.550583,0.4,2615833781426,1,0.0075,7201174177,0
LN00038,CUS00309,Large Corporate,F&B,Can Tho,B,1279000000000,331399807037,Real Estate,0.3257,2.247,2.458,0.1917,0.0709,0,1,0.15,0.364008,0.4,1411559922814,1,0.225,77072898412,0
LN00039,CUS00471,Retail Mortgage,Construction,Dong Nai,BB,170000000000,26561088046,Cash,0.6767,2.03,1.922,0.0738,0.1771,0,2,0.0825,0.33685,0.75,189920816034,2,0.2475,15833764677,0
LN00040,CUS00089,Retail Mortgage,Manufacturing,Da Nang,A,1108000000000,307093899731,Unsecured,0.5486,2.631,2.031,-0.2483,0.1227,0,0,0.012,0.642022,0.75,1338320424798,1,0.018,10310779296,0
LN00041,CUS00570,Retail Mortgage,Retail,Hanoi,B,2501000000000,752012714062,Cash,0.7294,2.35,2.465,0.2654,0.0521,0,0,0.12,0.355274,0.75,3065009535546,1,0.18,130670086299,0
LN00042,CUS00250,Large Corporate,Retail,Da Nang,BB,1666000000000,366286811782,Unsecured,0.9723,1.843,1.058,-0.0472,0.0162,15,0,0.06875,0.7903,0.4,1812514724712,1,0.103125,98479599571,0
LN00043,CUS00190,SME,Transport,HCMC,BB,1410000000000,269982169161,Cash,0.8454,1.307,2.875,-0.0569,0.0896,0,0,0.055,0.395898,0.4,1517992867664,1,0.0825,33053360712,0
LN00044,CUS00047,Large Corporate,Technology,Hanoi,A,2150000000000,577395041445,Cash,0.9514,2.832,2.877,0.0312,0.1625,0,1,0.015,0.432996,0.4,2380958016578,1,0.0225,15464184444,0
LN00045,CUS00076,SME,Manufacturing,Binh Duong,BB,422000000000,165729477676,Receivables,0.6488,1.522,2.368,0.122,0.2705,0,1,0.06875,0.477073,0.4,488291791070,1,0.103125,16015356987,0
LN00046,CUS00454,Large Corporate,Real Estate,Da Nang,BB,1246000000000,47760935337,Cash,1.001,1.808,4.989,-0.1295,0.1442,0,1,0.081878,0.450342,0.4,1265104374134,1,0.122817,46648215083,0
LN00047,CUS00462,Large Corporate,Energy,Dong Nai,B,248000000000,68034809806,Cash,0.8198,0.467,3.453,0.1996,0.065,0,0,0.196892,0.386921,0.4,275213923922,1,0.295337,20966224024,1
LN00048,CUS00203,Large Corporate,F&B,Hai Phong,BB,2897000000000,368565807107,Inventory,0.7511,1.934,2.785,0.0947,0.1524,15,0,0.06875,0.512892,0.4,3044426322842,1,0.103125,107350471293,0
LN00049,CUS00513,SME,Retail,Binh Duong,A,584000000000,18766505125,Inventory,0.9364,2.207,3.188,-0.1536,0.0801,5,0,0.013271,0.577753,0.4,591506602050,1,0.019906,4535250719,0
LN00050,CUS00276,SME,Construction,Binh Duong,BBB,1322000000000,359149244998,Receivables,0.9501,2.191,3.363,-0.0836,-0.0512,0,0,0.02609,0.582518,0.4,1465659697999,1,0.039135,22274953742,0
LN00051,CUS00338,SME,Manufacturing,Hai Phong,AA,1813000000000,747377984030,Unsecured,0.9607,2.463,2.121,-0.0769,0.1522,0,0,0.005,0.786258,0.4,2111951193612,1,0.0075,8302695261,0
LN00052,CUS00556,SME,F&B,Hai Phong,BB,2255000000000,37238412985,Receivables,0.9503,2.157,3.761,0.3112,0.1816,35,1,0.105857,0.582614,0.4,2269895365194,2,0.317571,419978384401,1
LN00053,CUS00246,SME,Retail,Dong Nai,BBB,2043000000000,574969527091,Cash,0.8585,1.43,0.2,-0.0456,-0.0246,0,3,0.04375,0.400463,0.4,2272987810836,2,0.13125,119469889281,0
LN00054,CUS00280,Large Corporate,Agriculture,Hai Phong,A,383000000000,38727158657,Receivables,0.9674,1.947,2.623,0.3258,0.0523,0,2,0.018,0.58858,0.4,398490863462,2,0.054,12665358509,0
LN00055,CUS00003,Large Corporate,Technology,Da Nang,B,594000000000,102532541340,Cash,1.0601,1.491,5.231,-0.1673,0.0668,0,2,0.21212,0.471051,0.4,635013016536,2,0.636361,190350806617,0
LN00056,CUS00245,SME,Healthcare,Binh Duong,BB,2007000000000,781460106103,Unsecured,1.1986,1.202,3.731,-0.0712,0.2079,0,2,0.087325,0.869494,0.4,2319584042441,2,0.261975,528366922824,0
LN00057,CUS00103,Large Corporate,Energy,Can Tho,BBB,1939000000000,615346587588,Unsecured,0.9244,1.297,1.86,-0.2059,0.1829,0,0,0.025,0.773523,0.4,2185138635035,1,0.0375,42256365940,0
LN00058,CUS00408,SME,Construction,Dong Nai,B,64000000000,20806382234,Receivables,0.8219,1.123,4.294,0.1946,0.1643,95,0,0.336052,0.537657,0.4,72322552893,3,0.336052,13067310410,1
LN00059,CUS00093,Retail Mortgage,Transport,Hai Phong,A,1558000000000,668947268387,Cash,0.5578,0.978,1.458,0.097,0.0467,5,0,0.015131,0.295221,0.75,2059710451290,1,0.022697,9200808915,0
LN00060,CUS00185,SME,Construction,HCMC,CCC,1228000000000,499232136689,Unsecured,0.7516,2.74,3.912,0.033,0.1647,0,0,0.310627,0.713046,0.4,1427692854675,1,0.46594,316221194796,0
LN00061,CUS00162,Retail Mortgage,Healthcare,Hanoi,A,2800000000000,303445537738,Cash,0.9449,1.641,2.16,0.1133,0.0896,15,2,0.021,0.430715,0.75,3027584153303,2,0.063,82153545841,0
LN00062,CUS00368,Consumer Finance,Transport,Binh Duong,BBB,2619000000000,1133799363776,Inventory,0.8775,1.577,1.761,-0.1424,0.3809,35,0,0.039583,0.557114,0.75,3469349522832,2,0.11875,229522704121,0
LN00063,CUS00622,Large Corporate,F&B,Can Tho,BBB,1623000000000,200466745663,Unsecured,0.5714,1.463,3.185,0.0229,0.0164,35,0,0.040139,0.649993,0.4,1703186698265,2,0.120416,133307838628,0
LN00064,CUS00374,SME,Retail,Dong Nai,BBB,2954000000000,1020198900536,Unsecured,0.7047,1.674,2.511,0.2873,0.1544,0,1,0.03125,0.696652,0.4,3362079560214,1,0.046875,73193781272,0
LN00065,CUS00303,Large Corporate,F&B,Dong Nai,A,721000000000,65147871124,Receivables,0.943,0.705,2.1,0.2386,0.0832,65,2,0.035755,0.580055,0.4,747059148449,2,0.107265,46481928901,0
LN00066,CUS00405,SME,Construction,Hanoi,B,578000000000,196154803345,Real Estate,0.7687,1.926,5.278,-0.0029,0.0184,35,0,0.222806,0.519054,0.4,656461921338,2,0.668417,227756063322,0
LN00067,CUS00065,SME,Construction,Dong Nai,BBB,2755000000000,325014605877,Unsecured,0.6408,2.333,1.749,0.275,-0.0194,65,0,0.052083,0.674263,0.4,2885005842350,2,0.15625,303945954378,0
LN00068,CUS00554,SME,F&B,Hai Phong,B,574000000000,11713081284,Real Estate,0.6996,3.575,4.276,0.1782,0.129,0,0,0.138376,0.494848,0.4,578685232513,1,0.207564,39625533909,0
LN00069,CUS00377,Retail Mortgage,Manufacturing,Binh Duong,BB,407000000000,152690888205,Unsecured,0.4964,0.936,2.802,0.3508,0.1077,0,0,0.066632,0.623744,0.75,521518166153,1,0.099948,21675035582,0
LN00070,CUS00342,Large Corporate,Transport,HCMC,B,779000000000,339404920359,Inventory,1.0624,2.773,2.378,0.1842,0.1201,5,3,0.22,0.621826,0.4,914761968143,2,0.66,375423052265,1
LN00071,CUS00554,Large Corporate,Healthcare,Da Nang,CCC,850000000000,224291529469,Cash,0.9062,1.43,3.576,-0.2336,0.0369,95,3,0.952702,0.417175,0.4,939716611787,3,0.952702,373484449748,1
LN00072,CUS00066,SME,Construction,Hai Phong,B,541000000000,3617746664,Real Estate,0.5586,1.901,2.2,0.0302,0.1343,0,1,0.15,0.445505,0.4,542447098665,1,0.225,36249398893,0
LN00073,CUS00491,SME,Transport,Can Tho,BBB,1853000000000,420125891477,Real Estate,0.7061,1.745,3.783,-0.2737,0.0023,95,0,0.066932,0.49713,0.4,2021050356590,3,0.066932,67248032622,1
LN00074,CUS00612,SME,Construction,Binh Duong,BBB,303000000000,122615023424,Receivables,0.8203,1.664,3.913,0.2568,0.1697,0,1,0.03399,0.537089,0.4,352046009369,1,0.050985,6426805224,0
LN00075,CUS00098,SME,Agriculture,Da Nang,BBB,2876000000000,148074692539,Real Estate,0.4189,0.869,0.54,-0.0343,-0.0615,0,1,0.037878,0.396626,0.4,2935229877015,1,0.056817,44097233896,0
LN00076,CUS00601,SME,F&B,Binh Duong,BBB,2815000000000,1169191294016,Machinery,1.0281,2.747,4.282,0.1476,0.1099,5,1,0.03718,0.609819,0.4,3282676517606,1,0.05577,74428291217,0
LN00077,CUS00570,SME,Construction,Da Nang,BB,1734000000000,677372303762,Unsecured,0.7549,0.378,2.148,-0.0188,0.0412,5,0,0.095745,0.714228,0.4,2004948921504,1,0.143617,137105645845,0
LN00078,CUS00185,SME,F&B,Da Nang,A,2299000000000,1008217187229,Receivables,0.7849,2.116,1.445,0.0541,0.0756,65,1,0.028,0.524732,0.4,2702286874891,2,0.084,119110074512,0
LN00079,CUS00162,Consumer Finance,F&B,Da Nang,BB,27000000000,2204077532,Inventory,1.0319,2.431,5.285,0.2053,0.1245,0,0,0.070079,0.611178,0.75,28653058149,1,0.105118,1227228184,0
LN00080,CUS00453,Retail Mortgage,Transport,Hai Phong,BBB,2444000000000,93435752566,Cash,0.8345,2.104,3.466,-0.1189,0.0092,0,0,0.026398,0.392089,0.75,2514076814424,1,0.039597,26021432285,0
LN00081,CUS00141,Large Corporate,Agriculture,Can Tho,BBB,456000000000,58122175660,Receivables,0.7497,1.228,2.988,0.0324,0.0044,0,0,0.025,0.512388,0.4,479248870264,1,0.0375,6139035081,0
LN00082,CUS00044,Large Corporate,Transport,Hai Phong,BBB,1765000000000,139545596389,Receivables,1.0154,1.174,4.693,-0.2608,0.0898,15,0,0.03685,0.605402,0.4,1820818238555,1,0.055275,40620478631,0
LN00083,CUS00091,Retail Mortgage,Construction,Hai Phong,AAA,1760000000000,454132547261,Cash,0.7976,1.246,3.415,0.1045,0.0249,0,1,0.0026,0.379174,0.75,2100599410445,1,0.0039,2070640850,0
LN00084,CUS00199,SME,Retail,Can Tho,B,2148000000000,76020274760,Receivables,1.1706,2.425,1.516,0.1356,0.2268,0,0,0.12,0.659714,0.4,2178408109904,1,0.18,172455077169,0
LN00085,CUS00579,Large Corporate,Manufacturing,Dong Nai,BBB,1050000000000,93210926834,Machinery,0.5796,1.242,2.711,-0.0132,0.1034,15,1,0.0375,0.452853,0.4,1087284370733,1,0.05625,18464267560,0
LN00086,CUS00463,Large Corporate,Healthcare,Hanoi,BB,1296000000000,88038356492,Unsecured,0.6189,2.34,3.829,0.033,0.1506,0,0,0.060473,0.66662,0.4,1331215342596,1,0.09071,53665096267,0
LN00087,CUS00514,Large Corporate,F&B,HCMC,AA,2521000000000,673953850243,Real Estate,0.4529,2.281,5.4,-0.0037,0.2594,0,0,0.00644,0.408505,0.4,2790581540097,1,0.00966,7341502841,0
LN00088,CUS00290,Large Corporate,Technology,Hai Phong,CCC,2927000000000,111074116246,Inventory,0.9616,1.706,2.886,-0.0654,-0.1469,0,0,0.28,0.586573,0.4,2971429646498,1,0.42,488028561140,0
LN00089,CUS00597,SME,Transport,Dong Nai,BBB,2586000000000,753269243905,Real Estate,0.7316,1.899,2.702,-0.0525,0.0708,35,1,0.045833,0.506054,0.4,2887307697562,2,0.1375,200906039522,0
LN00090,CUS00540,Large Corporate,Transport,Hanoi,A,2862000000000,852763868609,Unsecured,0.5616,2.396,4.793,0.2784,0.1419,5,0,0.015582,0.646549,0.4,3203105547443,1,0.023373,32270319858,0
LN00091,CUS00553,SME,Energy,Can Tho,BB,1487000000000,206677730783,Real Estate,0.8244,1.648,3.293,-0.0369,0.1364,0,1,0.070681,0.538525,0.4,1569671092313,1,0.106022,59747495302,0
LN00092,CUS00421,Large Corporate,Agriculture,Da Nang,BB,2533000000000,149376249873,Inventory,0.85,1.566,3.783,0.2312,-0.0298,15,0,0.073916,0.547494,0.4,2592750499949,1,0.110873,104924206908,0
LN00093,CUS00452,Consumer Finance,Retail,Hai Phong,BB,1169000000000,395795372406,Cash,0.8808,1.407,3.447,0.5462,0.1271,0,0,0.057951,0.408273,0.75,1465846529304,1,0.086927,34681843146,0
LN00094,CUS00529,SME,Energy,Can Tho,B,665000000000,244454703444,Receivables,0.4271,1.895,2.475,0.08,0.2045,35,0,0.19,0.399485,0.4,762781881377,2,0.57,173690392711,0
LN00095,CUS00242,Retail Mortgage,Construction,Hai Phong,A,1842000000000,750408316622,Inventory,0.979,2.271,4.136,0.0379,0.0193,0,0,0.013636,0.592641,0.75,2404806237466,1,0.020455,19434391272,0
LN00096,CUS00481,Large Corporate,Transport,Hai Phong,CCC,407000000000,153695137076,Inventory,0.9061,1.227,1.195,0.1761,0.1401,15,0,0.35,0.567125,0.4,468478054830,1,0.525,92989995683,0
LN00097,CUS00114,Large Corporate,Construction,Can Tho,BB,614000000000,151634613016,Machinery,0.8151,1.133,4.084,0.1754,0.0821,0,1,0.078845,0.535276,0.4,674653845206,1,0.118267,28472950820,0
LN00098,CUS00537,SME,Healthcare,Da Nang,B,2112000000000,546525103637,Unsecured,0.9094,1.71,2.061,0.2479,0.0907,0,0,0.12,0.768276,0.4,2330610041454,1,0.18,214866196139,0
LN00099,CUS00107,SME,Agriculture,Can Tho,AA,2271000000000,20780644311,Cash,0.8918,1.683,2.174,0.1935,0.0887,0,0,0.005,0.412113,0.4,2279312257724,1,0.0075,4696666705,0
LN00100,CUS00469,Large Corporate,Transport,Hanoi,BB,2238000000000,340950943712,Inventory,0.662,1.154,1.139,-0.122,-0.1163,0,0,0.057036,0.481713,0.4,2374380377484,1,0.085554,65236372762,0
LN00101,CUS00340,Retail Mortgage,Real Estate,Da Nang,BBB,1294000000000,543501921625,Real Estate,0.15,1.64,2.169,0.0433,0.0911,0,1,0.03125,0.3025,0.75,1701626441218,1,0.046875,16085687452,0
LN00102,CUS00435,SME,Transport,Hanoi,A,1803000000000,725864131531,Receivables,0.7198,0.677,5.668,-0.1311,0.0922,65,0,0.033864,0.50192,0.4,2093345652612,2,0.101592,106742083588,0
LN00103,CUS00446,SME,Manufacturing,Da Nang,BBB,422000000000,15205086213,Inventory,0.7591,1.401,2.021,-0.034,0.0625,0,1,0.03125,0.515702,0.4,428082034485,1,0.046875,6898837097,0
LN00104,CUS00069,Large Corporate,Real Estate,HCMC,BB,1665000000000,272210864640,Unsecured,0.677,2.062,1.196,0.1756,0.077,0,1,0.06875,0.686957,0.4,1773884345856,1,0.103125,83777530012,0
LN00105,CUS00117,SME,Transport,Hanoi,B,134000000000,36487218179,Cash,0.6398,0.59,1.552,0.3,0.0022,0,0,0.178561,0.323921,0.4,148594887271,1,0.267841,8594670736,0
LN00106,CUS00076,SME,Technology,Hai Phong,BB,484000000000,57014960160,Cash,0.74,1.761,4.719,0.2276,0.0885,65,0,0.125929,0.358998,0.4,506805984064,2,0.377786,68735275176,0
LN00107,CUS00230,Consumer Finance,Technology,Hanoi,A,1311000000000,393992084398,Unsecured,0.7864,1.127,2.903,0.2272,0.1591,5,0,0.013698,0.725253,0.75,1606494063298,1,0.020547,15959779498,0
LN00108,CUS00491,Large Corporate,Manufacturing,Binh Duong,CCC,109000000000,17701974523,Receivables,1.1129,1.245,2.511,0.1744,0.0855,35,0,0.443333,0.639503,0.4,116080789809,2,0.99,73491700224,0
LN00109,CUS00444,Retail Mortgage,Energy,Binh Duong,BBB,515000000000,225349002778,Real Estate,0.5131,1.331,2.653,-0.0697,0.1903,5,0,0.027083,0.429583,0.75,684011752083,1,0.040625,7958170451,0
LN00110,CUS00202,Retail Mortgage,Real Estate,Dong Nai,B,628000000000,85945595797,Cash,0.6084,2.475,5.983,0.1471,0.2819,0,0,0.162958,0.312949,0.75,692459196847,1,0.244437,35313659081,0
LN00111,CUS00030,Large Corporate,F&B,Hanoi,CCC,2518000000000,604483955530,Inventory,0.7285,1.795,3.956,0.0426,0.0207,0,1,0.382132,0.504962,0.4,2759793582212,1,0.573198,532535518597,0
LN00112,CUS00416,Large Corporate,Healthcare,Da Nang,AA,2345000000000,439603203460,Machinery,0.5817,1.385,1.94,-0.0238,0.0426,65,0,0.010417,0.453592,0.4,2520841281384,2,0.03125,35732263272,0
LN00113,CUS00109,Large Corporate,Real Estate,Da Nang,BBB,1985000000000,414862957432,Receivables,0.7902,2.058,3.992,-0.0407,0.1634,0,1,0.034225,0.52657,0.4,2150945182972,1,0.051337,38763531720,0
LN00114,CUS00592,Large Corporate,Construction,Dong Nai,BBB,579000000000,25224276074,Machinery,0.8362,1.665,4.535,-0.0218,0.0499,35,0,0.044187,0.542656,0.4,589089710429,2,0.132562,42376627474,0
LN00115,CUS00482,SME,Manufacturing,Da Nang,BBB,1914000000000,429581736842,Cash,0.8344,1.911,4.764,0.0079,0.1445,0,0,0.030292,0.392049,0.4,2085832694736,1,0.045438,24771109281,0
LN00116,CUS00462,SME,Construction,Can Tho,BB,2981000000000,490672414876,Inventory,0.8211,1.663,3.443,0.2994,0.1225,0,0,0.057926,0.537376,0.4,3177268965950,1,0.086889,98901764398,0
LN00117,CUS00141,SME,Healthcare,Dong Nai,BB,529000000000,232118464209,Real Estate,0.3702,2.405,1.442,0.4407,0.0917,0,0,0.055,0.379574,0.4,621847385683,1,0.0825,12982029931,0
LN00118,CUS00520,SME,Technology,Can Tho,BBB,2485000000000,998744514666,Machinery,0.7168,2.613,5.694,0.0049,0.1626,0,1,0.039332,0.500883,0.4,2884497805866,1,0.058998,56827159944,0
LN00119,CUS00593,Retail Mortgage,Technology,Binh Duong,BB,1947000000000,714718340246,Inventory,0.6473,2.406,5.039,0.05,0.1272,5,0,0.073039,0.476566,0.75,2483038755184,1,0.109558,86429022663,0
LN00120,CUS00020,SME,Real Estate,Hai Phong,BBB,2149000000000,608298859449,Machinery,0.5423,1.03,1.365,0.2429,0.1868,0,2,0.040906,0.43979,0.4,2392319543779,2,0.122718,129113833404,0
LN00121,CUS00386,SME,Manufacturing,Da Nang,BBB,1682000000000,379827183040,Machinery,0.6773,1.4,4.508,-0.1565,0.0635,0,3,0.048274,0.487049,0.4,1833930873216,2,0.144823,129357570068,0
LN00122,CUS00572,Consumer Finance,Technology,Da Nang,CCC,2239000000000,356961855409,Inventory,0.6174,1.921,0.985,-0.0919,-0.0064,0,0,0.28,0.466095,0.75,2506721391556,1,0.42,327143433059,0
LN00123,CUS00405,Retail Mortgage,F&B,Can Tho,BBB,851000000000,264327374133,Unsecured,0.6219,1.843,0.2,-0.0759,0.0783,0,0,0.025,0.667661,0.75,1049245530599,1,0.0375,17513511240,0
LN00124,CUS00279,Large Corporate,Manufacturing,HCMC,BBB,2927000000000,104093621640,Inventory,0.6878,2.514,2.26,0.0779,0.0345,15,0,0.03125,0.490741,0.4,2968637448656,1,0.046875,45525970198,0
LN00125,CUS00162,Large Corporate,Healthcare,Hai Phong,A,2745000000000,1118128771872,Real Estate,0.6722,2.196,4.213,0.1749,-0.0292,0,2,0.019747,0.48526,0.4,3192251508748,2,0.059241,91769287370,0
LN00126,CUS00180,SME,Technology,Hai Phong,BB,1178000000000,170250998893,Machinery,0.9022,1.069,0.773,0.279,0.1457,0,1,0.07451,0.565761,0.4,1246100399557,1,0.111765,52529227337,0
LN00127,CUS00466,Consumer Finance,Manufacturing,Dong Nai,B,1628000000000,577259957447,Real Estate,0.7795,2.642,4.004,-0.027,0.1555,0,2,0.194463,0.522842,0.75,2060944968085,2,0.583389,628630053455,0
LN00128,CUS00303,Retail Mortgage,Technology,Binh Duong,BB,2067000000000,435329518291,Machinery,0.8893,1.895,3.841,0.1842,0.1656,0,0,0.060549,0.561245,0.75,2393497138718,1,0.090823,81337720518,0
